run_id,config_id,n_seg,mode,seed,self_res,exaf_res,ratio
0,0,3,modulated,0,0.0008278181805634,0.0974133785681881,117.67484799848113
1,0,3,modulated,1,0.0008955886879601,0.1026646265719494,114.63367944696591
2,0,3,modulated,2,0.000987821879536,0.1029662971970661,104.23569201102374
3,0,3,modulated,3,0.0010062373880904,0.1016004711049006,100.97067780169446
4,0,3,modulated,4,0.0008372955898602,0.1016259586844823,121.37405226444385
5,0,3,modulated,5,0.0007447083420035,0.1013433110910197,136.08456542646402
6,1,3,foil,0,0.0090409036597977,0.0950804016394299,10.516692270732255
7,1,3,foil,1,0.0075714469915521,0.1047474198268701,13.834531225503191
8,1,3,foil,2,0.0065899123272053,0.1069799962606645,16.233902812183903
9,1,3,foil,3,0.0069451994678282,0.1003444148806673,14.448024904898
10,1,3,foil,4,0.0076875956160239,0.1007367882491008,13.103809471862258
11,1,3,foil,5,0.0071754743909818,0.0990772558608131,13.807763844204406
12,2,5,modulated,0,0.0006284341905542,0.0316295544821368,50.33073463785032
13,2,5,modulated,1,0.0008632665342551,0.045113636139744,52.259220472004486
14,2,5,modulated,2,0.0007638351237558,0.0411511285485409,53.87436014488988
15,2,5,modulated,3,0.000688726694137,0.0459076228399669,66.6557913767091
16,2,5,modulated,4,0.0009143839777535,0.0394678455749696,43.163317091286366
17,2,5,modulated,5,0.0008165142769497,0.0342643926243827,41.96422964260292
18,3,5,foil,0,0.0190137170054565,0.0391636012996045,2.059755138270195
19,3,5,foil,1,0.0139730565408084,0.0469751200426206,3.3618356803630856
20,3,5,foil,2,0.0174348127928739,0.0484707230945328,2.780111474115968
21,3,5,foil,3,0.0139466315306899,0.0462156388207541,3.313749181589513
22,3,5,foil,4,0.0157940221394359,0.041066068615653,2.600102003980078
23,3,5,foil,5,0.021292937383005,0.0387869814152771,1.821589042300713
24,4,7,modulated,0,0.0005106319386199,0.0130683583227052,25.59252043267128
25,4,7,modulated,1,0.0005344698740188,0.0212986334897893,39.85001685808698
26,4,7,modulated,2,0.0005905258210868,0.0108754239937397,18.416508822125707
27,4,7,modulated,3,0.0006303988739843,0.0255345620293831,40.505405518883485
28,4,7,modulated,4,0.0007207681305748,0.0285020417140169,39.54398162871595
29,4,7,modulated,5,0.0004965045373832,0.0175840416280888,35.41567156820769
30,5,7,foil,0,0.0255367206592223,0.0282328339915898,1.1055778996976997
31,5,7,foil,1,0.0193269912888997,0.0263458138995442,1.3631616792146914
32,5,7,foil,2,0.0250593424673653,0.0275152010927673,1.0980017184648865
33,5,7,foil,3,0.0188998104658441,0.0293510473978974,1.552981044489349
34,5,7,foil,4,0.0199548210939683,0.0262967551378896,1.3178146280568848
35,5,7,foil,5,0.0227165744228904,0.025482614854041,1.1217630959518008
36,6,9,modulated,0,0.000736485267759,0.0272188273195587,36.95773494883023
37,6,9,modulated,1,0.0004437989752513,0.0083207340228634,18.748880657399575
38,6,9,modulated,2,0.0005547515319298,0.0057133390484308,10.298915315393929
39,6,9,modulated,3,0.0004846293894457,0.0159493768054971,32.910461381089966
40,6,9,modulated,4,0.0005656536691012,0.0216422573708448,38.26061520157891
41,6,9,modulated,5,0.0005356845720324,0.0108970874442784,20.342358195855653
42,7,9,foil,0,0.0264827891135824,0.0383890873425171,1.449586264417601
43,7,9,foil,1,0.0329298018895868,0.0359725255399787,1.0924003023338609
44,7,9,foil,2,0.0320111034012328,0.036728931521704,1.1473809903188
45,7,9,foil,3,0.0299323481072605,0.0340988429268179,1.139197058801637
46,7,9,foil,4,0.0207366514741188,0.0293514017720684,1.4154359400167171
47,7,9,foil,5,0.0311587460136931,0.0249217440266167,0.7998314186220613
